grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Voždovac opština,Voždovac,75.0,3 sobe,2/4 sprata,Renovirano,Centralno grejanje,175000.0,,,Da
Beograd,Voždovac opština,Banjica,69.0,2.5 soba,Visoko prizemlje/10 spratova,,Centralno grejanje,150000.0,Da,,
Beograd,Zvezdara opština,Kluz,66.0,3.5 soba,Potkrovlje/3 sprata,,Etažno grejanje,145000.0,,,Da
Beograd,Zvezdara opština,Mirijevo,47.0,2.5 soba,4/4 sprata,,Etažno grejanje,118000.0,Da,,Da
Beograd,Zvezdara opština,Rudo,73.0,2 sobe,3/28 spratova,Renovirano,Centralno grejanje,155000.0,,,Da
Beograd,Stari Grad opština,Dorćol,55.0,2.5 soba,Visoko prizemlje/4 sprata,,Centralno grejanje,210000.0,,,
Beograd,Zemun opština,Zemun,38.0,1.5 soba,5/5 spratova,,Grejanje na struju,48000.0,,,
Beograd,Zvezdara opština,Mirijevo,33.0,1 soba,3/5 spratova,,,79000.0,Da,,Da
Beograd,Zvezdara opština,Mirijevo,40.0,1.5 soba,1/5 spratova,,,90000.0,Da,,Da
Beograd,Vračar,Kalenić,170.0,5 soba,1/5 spratova,,Centralno grejanje,550000.0,,,
Beograd,Novi Beograd,Blok 70a,62.0,2 sobe,6/8 spratova,Renovirano,,185000.0,Da,,
Beograd,Zvezdara opština,Učiteljsko Naselje,77.0,3 sobe,2/5 spratova,,Etažno grejanje,204000.0,,,Da
Beograd,Novi Beograd,A Blok - Blok 67a,48.0,2 sobe,9/40 spratova,,Centralno grejanje,230000.0,,,Da
Beograd,Voždovac opština,Lekino Brdo,104.0,3 sobe,1/4 sprata,,Etažno grejanje,270000.0,,,Da
Beograd,Savski Venac,Dedinje,220.0,5 soba,Prizemlje/1 sprat,,Etažno grejanje,880000.0,,,
Beograd,Zvezdara opština,Mirijevo,81.0,3 sobe,4/4 sprata,,Etažno grejanje,137000.0,,,Da
Beograd,Novi Beograd,Tošin Bunar,84.0,4 sobe,4/22 sprata,,Centralno grejanje,280407.0,,,
Beograd,Čukarica opština,Čukarica,43.0,1.5 soba,4/4 sprata,,Centralno grejanje,120000.0,,,Da
Beograd,Savski Venac,Beograđanka,76.0,3 sobe,1/6 spratova,Renovirano,Centralno grejanje,279000.0,Da,,
Beograd,Zvezdara opština,Novo Groblje,123.0,4 sobe,5/7 spratova,,Centralno grejanje,362850.0,Da,,Da
Beograd,Zvezdara opština,Crveni Krst Zvezdara,108.0,3 sobe,2/2 sprata,,Etažno grejanje,180000.0,,,
Beograd,Čukarica opština,Čukarica,60.0,2.5 soba,2/3 sprata,,,171000.0,,,
Beograd,Palilula opština,Botanička Bašta,40.0,2 sobe,Suteren,,,90000.0,,,
Beograd,Voždovac opština,Voždovačka crkva,281.0,5 soba,2/2 sprata,,Etažno grejanje,390000.0,,,Da
Beograd,Vračar,Južni Bulevar,83.0,3 sobe,5/5 spratova,,Etažno grejanje,345000.0,,,Da
Beograd,Novi Beograd,Blok 65 - WEST 65,70.0,2 sobe,1/7 spratova,,Centralno grejanje,295000.0,,,
